AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
SLM;LESA;Matacan Airport;Salamanca, Spain
SLN;KSLN;Salina Municipal Airport;Salina, Kansas, United States
SLO;KSLO;Salem-Leckrone Airport;Salem, Illinois, United States
SLP;MMSP;Ponciano Arriaga International Airport;San Luis Potosi, San Luis Potosi, Mexico
SLQ;PASL;Sleetmute Airport;Sleetmute, Alaska, United States
SLR;KSLR;Sulphur Springs Municipal Airport;Sulphur Springs, Texas, United States
SLS;LBSS;Silistra Airport;Silistra, Bulgaria
SLT;KANK;Harriet Alexander Field (FAA: ANK);Salida, Colorado, United States
SLU;TLPC;George F. L. Charles Airport;Castries, Saint Lucia
SLV;VISM;Shimla Airport;Simla, Himachal Pradesh, India
SLW;MMIO;Plan de Guadalupe International Airport;Saltillo, Mexico
SLY;USDD;Salekhard Airport;Salekhard, Russia
SLZ;SBSL;Marechal Cunha Machado International Airport;Sao Luis, Brazil
SMA;LPAZ;Santa Maria Airport;Santa Maria, Portugal
SMD;KSMD;Smith Field;Fort Wayne, Indiana, United States
SME;KSME;Lake Cumberland Regional Airport (J.T. Wilson Field);Somerset, Kentucky, United States
SMF;KSMF;Sacramento International Airport;Sacramento, California, United States
SMH;AYSP;Sapmanga Airport;Sapmanga, Papua New Guinea
SMI;LGSM;"Samos International Airport ""Aristarchos of Samos""";Samos Island, Greece
SMK;PAMK;St. Michael Airport;St. Michael, Alaska, United States
SMM;WBKA;Semporna Airport;Sabah, Malaysia
SMN;KSMN;Lemhi County Airport;Salmon, Idaho, United States
SMO;KSMO;Santa Monica Municipal Airport;Santa Monica, California, United States
SMQ;WAOS;Sampit Airport;Sampit, Central Kalimantan (Borneo), Indonesia
SMR;SKSM;Simon Bolivar International Airport;Santa Marta, Colombia
SMS;FMMS;Sainte Marie Airport;Ile Sainte-Marie, Madagascar
SMU;PASP;Sheep Mountain Airport;Sheep Mountain, Alaska, United States
SMV;LSZS;Samedan Airport (Engadin Airport);St. Moritz / Samedan, Switzerland
SMX;KSMX;Santa Maria Public Airport (Capt. G. Allan Hancock Field);Santa Maria, California, United States
SMY;GOTS;Simenti Airport;Simenti, Senegal
SMZ;SMST;Stoelmans Eiland Airport;Stoelmans Eiland, Suriname
SNA;KSNA;John Wayne Airport (Orange County Airport);Santa Ana, California, United States
SNB;YSNB;Snake Bay Airport;Milikapiti, Melville Island, Northern Territory, Australia
SNC;SESA;General Ulpiano Paez Airport;Salinas, Ecuador
SNE;GVSN;Preguica Airport;Sao Nicolau, Cape Verde
SNH;YSPE;Stanthorpe Airport;Stanthorpe, Queensland, Australia
SNI;GLGE;Greenville/Sinoe Airport;Greenville, Liberia
SNK;KSNK;Winston Field;Snyder, Texas, United States
SNL;KSNL;Shawnee Regional Airport;Shawnee, Oklahoma, United States
SNN;EINN;Shannon International Airport;Shannon (County Clare), Ireland
SNP;PASN;St. Paul Island Airport;St. Paul Island, Alaska, United States
SNR;LFRZ;Saint-Nazaire Montoir Airport;Saint-Nazaire, France
SNS;KSNS;Salinas Municipal Airport;Salinas, California, United States
SNU;MUSC;Abel Santamaria Airport;Santa Clara, Cuba
SNY;KSNY;Sidney Municipal Airport (Lloyd W. Carr Field);Sidney, Nebraska, United States
SNZ;SBSC;Santa Cruz Air Force Base;Santa Cruz, Rio de Janeiro, Brazil
SOB;LHSM;Sarmellek International Airport;Sarmellek, Hungary
SOC;WARQ;Adi Soemarmo International Airport;Solo City, Indonesia
SOD;SDCO;Sorocaba Airport;Sorocaba, Sao Paulo, Brazil
SOF;LBSF;Sofia Airport;Sofia, Bulgaria
SOG;ENSG;Sogndal Airport, HaukAsen;Sogndal, Norway
SOJ;ENSR;Sorkjosen Airport;Sorkjosen, Norway
SOK;FXSM;Semonkong Airport;Semonkong, Lesotho
SOM;SVST;San Tome Airport;San Tome, Venezuela
SON;NVSS;Santo-Pekoa International Airport;Luganville, Vanuatu
SOP;KSOP;Moore County Airport;Pinehurst / Southern Pines, North Carolina, United States
SOU;EGHI;Southampton Airport;Eastleigh (near Southampton), England, United Kingdom
SOV;PASO;Seldovia Airport;Seldovia, Alaska, United States
SOW;KSOW;Show Low Regional Airport;Show Low, Arizona, United States
SOY;EGER;Stronsay Airport;Stronsay, Scotland, United Kingdom
SPA;KSPA;Spartanburg Downtown Memorial Airport;Spartanburg, South Carolina, United States
SPB;;Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22);Charlotte Amalie, Saint Thomas, U.S. Virgin Islands
SPC;GCLA;La Palma Airport;La Palma, Canary Islands, Spain
SPD;VGSD;Saidpur Airport;Saidpur, Bangladesh
SPF;KSPF;Black Hills Airport (Clyde Ice Field);Spearfish, South Dakota, United States
SPG;KSPG;Albert Whitted Airport;St. Petersburg, Florida, United States
SPH;;Sopu Airport;Sopu, Papua New Guinea
SPI;KSPI;Abraham Lincoln Capital Airport;Springfield, Illinois, United States
SPJ;LGSP;Sparti Airport;Sparti, Laconia, Greece
SPK;;All Airports;Sapporo, Japan
SPM;ETAD;Spangdahlem Air Base;Spangdahlem, Germany
SPN;PGSN;Saipan International Airport (Francisco C. Ada) (FAA: GSN);Saipan Island, Northern Mariana Islands
SPR;;San Pedro Airport;San Pedro, Belize
SPS;KSPS;Sheppard Air Force Base / Wichita Falls Municipal Airport;Wichita Falls, Texas, United States
SPU;LDSP;Split Airport;Split, Croatia
SPW;KSPW;Spencer Municipal Airport;Spencer, Iowa, United States
SPZ;KASG;Springdale Municipal Airport (FAA: ASG);Springdale, Arkansas, United States
SQA;KIZA;Santa Ynez Airport (FAA: IZA);Santa Ynez, California, United States
SQI;KSQI;Whiteside County Airport (Jos. H. Bittorf Field);Sterling / Rock Falls, Illinois, United States
SQL;KSQL;San Carlos Airport;San Carlos, California, United States
SQQ;EYSA;Siauliai International Airport;Siauliai, Lithuania
SQR;WAWS;Soroako Airport;Soroako, Indonesia
SQV;;Sequim Valley Airport (FAA: W28);Sequim, Washington, United States
SQW;EKSV;Skive Airport;Skive, Denmark
SQX;SSOE;Sao Miguel do Oeste Airport;Sao Miguel do Oeste, Santa Catarina, Brazil
SRC;KSRC;Searcy Municipal Airport;Searcy, Arkansas, United States
SRE;SLSU;Juana Azurduy de Padilla International Airport;Sucre, Bolivia
SRF;;San Rafael Airport;San Rafael, California, United States
SRG;WARS;Achmad Yani International Airport;Semarang, Indonesia
SRH;FTTA;Sarh Airport;Sarh, Chad
SRI;WALS;Temindung Airport (will be succeeded by Samarinda International Airport);Sei Pinang, Samarinda
SRK;BGSI;Siorapaluk Heliport;Siorapaluk, Greenland
SRJ;SLSB;Capitan German Quiroga Guardia Airport;San Borja, Bolivia
SRP;ENSA;Stord Airport, Sorstokken;Stord, Hordaland, Norway
SRQ;KSRQ;Sarasota-Bradenton International Airport;Sarasota, Florida (near Bradenton), United States
SRT;HUSO;Soroti Airport;Soroti, Uganda
SRV;;Stony River 2 Airport;Stony River, Alaska, United States
SRW;KRUQ;Rowan County Airport (FAA: RUQ);Salisbury, North Carolina, United States
SRX;HLGD;Gardabya Airport;Sirte, Libya
SRY;OINZ;Dasht-e Naz Airport;Sari, Iran
SRZ;SLET;El Trompillo Airport;Santa Cruz de la Sierra, Bolivia
SSA;SBSV;Deputado Luis Eduardo Magalhaes International Airport;Salvador, Bahia, Brazil
SSB;;Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) (FAA: VI32);Christiansted, Saint Croix, U.S. Virgin Islands
SSC;KSSC;Shaw Air Force Base;Sumter, South Carolina, United States
SSE;VASL;Solapur Airport;Sholapur (Solapur), India
SSF;KSSF;Stinson Municipal Airport;San Antonio, Texas, United States
SSG;FGSL;Malabo International Airport (Saint Isabel Airport);Malabo, Equatorial Guinea
SSH;HESH;Sharm el-Sheikh International Airport;Sharm el-Sheikh, Egypt
SSI;KSSI;Malcolm McKinnon Airport;Brunswick, Georgia, United States
SSJ;ENST;Sandnessjoen Airport, Stokka;Sandnessjoen, Norway
SSN;RKSM;Seoul Air Base;Seongnam, South Korea
SSQ;;La Sarre Airport;La Sarre, Quebec, Canada
SSR;NVSH;Sara Airport;Sara, Vanuatu
SSV;;Siasi Airport;Siasi, Sulu, Philippines
SSX;LTAQ;Samsun Samair Airport;Samsun, Turkey
SSZ;SBST;Santos Air Base;Santos, Brazil
STA;EKVJ;Stauning Vestjylland Airport;Skjern, Denmark
STB;SVSZ;Miguel Urdaneta Fernandez Airport;Santa Barbara del Zulia, Venezuela
STC;KSTC;St. Cloud Regional Airport;St. Cloud, Minnesota, United States
STD;SVSO;Mayor Buenaventura Vivas Airport;Santo Domingo (near San Cristobal, Tachira), Venezuela
STE;KSTE;Stevens Point Municipal Airport;Stevens Point, Wisconsin, United States
STF;YSTI;Stephens Island Airport;Stephens Island, Queensland, Australia
STG;PAPB;St. George Airport (FAA: PBV);St. George, Alaska, United States
STI;MDST;Cibao International Airport;Santiago, Dominican Republic
STJ;KSTJ;Rosecrans Memorial Airport;St. Joseph, Missouri, United States
STK;KSTK;Sterling Municipal Airport;Sterling, Colorado, United States
STL;KSTL;Lambert-St. Louis International Airport;St. Louis, Missouri, United States
STM;SBSN;Santarem-Maestro Wilson Fonseca Airport;Santarem, Para, Brazil
STN;EGSS;London Stansted Airport;Essex (near London), England, United Kingdom
STO;;All Airports;Stockholm, Sweden
STP;KSTP;St. Paul Downtown Airport (Holman Field);St. Paul, Minnesota, United States
STQ;KOYM;St. Marys Municipal Airport (FAA: OYM);St. Marys, Pennsylvania, United States
STR;EDDS;Stuttgart Airport;Stuttgart, Germany
STS;KSTS;Charles M. Schulz Sonoma County Airport;Santa Rosa, California, United States
STT;TIST;Cyril E. King Airport;Charlotte Amalie, Saint Thomas, United States Virgin Islands
STU;;Santa Cruz Airport;Santa Cruz, Belize
STV;VASU;Surat Airport;Surat, Gujarat, India
STW;URMT;Stavropol Shpakovskoye Airport;Stavropol, Russia
STX;TISX;Henry E. Rohlsen Airport;Christiansted, Saint Croix, United States Virgin Islands
STY;SUSO;Nueva Hesperides International Airport;Salto, Salto, Uruguay
SUA;KSUA;Witham Field;Stuart, Florida, United States
SUB;WARR;Juanda International Airport;Surabaya, Indonesia
SUD;KSUD;Stroud Municipal Airport;Stroud, Oklahoma, United States
SUE;KSUE;Door County Cherryland Airport;Sturgeon Bay, Wisconsin, United States
SUF;LICA;Lamezia Terme International Airport;Lamezia Terme, Italy
SUG;RPMS;Surigao Airport;Surigao City, Surigao del Norte, Philippines
SUI;UGSS;Sukhumi Dranda Airport;Sukhumi, Georgia
SUJ;LRSM;Satu Mare International Airport;Satu Mare, Romania
SUK;;Sakkyryr Airport;Batagay-Alyta, Sakha Republic, Russia
SUM;KSMS;Sumter Airport (FAA: SMS);Sumter, South Carolina, United States
SUN;KSUN;Friedman Memorial Airport;Hailey, Idaho, United States
SUO;;Sunriver Airport (FAA: S21);Sunriver, Oregon, United States
SUS;KSUS;Spirit of St. Louis Airport;Chesterfield, Missouri, United States
SUT;HTSU;Sumbawanga Airport;Sumbawanga, Tanzania
SUU;KSUU;Travis Air Force Base;Fairfield, California, United States
SUV;NFNA;Nausori International Airport;Suva / Nausori, Viti Levu, Fiji
SUW;KSUW;Richard I. Bong Airport;Superior, Wisconsin, United States
SUX;KSUX;Sioux Gateway Airport (Colonel Bud Day Field);Sioux City, Iowa, United States
SVA;PASA;Savoonga Airport;Savoonga, Alaska, United States
SVC;KSVC;Grant County Airport;Silver City, New Mexico, United States
SVD;TVSV;E.T. Joshua Airport;Arno Vale (near Kingstown), Saint Vincent, Saint Vincent and the Grenadines
SVE;KSVE;Susanville Municipal Airport;Susanville, California, United States
SVF;DBBS;Save Airport;Save, Benin
SVG;ENZV;Stavanger Airport, Sola;Stavanger, Norway
SVH;KSVH;Statesville Regional Airport;Statesville, North Carolina, United States
SVJ;ENSH;Svolvaer Airport, Helle;Svolvaer, Norway
SVN;KSVN;Hunter Army Airfield;Savannah, Georgia, United States
SVO;UUEE;Sheremetyevo International Airport;Moscow, Russia
SVQ;LEZL;San Pablo Airport;Seville, Spain
SVR;BGSV;Savissivik Heliport;Savissivik, Greenland
SVS;;Stevens Village Airport;Stevens Village, Alaska, United States
SVW;PASV;Sparrevohn LRRS Airport;Sparrevohn, Alaska, United States
SVX;USSS;Koltsovo International Airport;Yekaterinburg, Russia
SVZ;SVSA;Juan Vicente Gomez International Airport;San Antonio del Tachira, Venezuela
SWA;ZGOW;Jieyang Chaoshan Airport;Jieyang / Shantou / Chaozhou, Guangdong, China
SWD;PAWD;Seward Airport;Seward, Alaska, United States
SWF;KSWF;Stewart International Airport;Newburgh, New York, United States
SWI;;Swindon Airport;Swindon, England, United Kingdom
SWN;OPSW;Sahiwal Airport;Sahiwal, Pakistan
SWO;KSWO;Stillwater Regional Airport;Stillwater, Oklahoma, United States
SWS;EGFH;Swansea Airport;Swansea, Wales, United Kingdom
SWT;UNSS;Strezhevoy Airport;Strezhevoy, Tomsk Oblast, Russia
SWW;KSWW;Avenger Field;Sweetwater, Texas, United States
SWY;WMBA;Sitiawan Airport;Perak, Malaysia
SWZ;;Western Sydney Airport (designated site for proposed Second Sydney Airport);Badgerys Creek, New South Wales, Australia
SXB;LFST;Strasbourg Entzheim International Airport;Strasbourg, France
SXF;EDDB;Berlin Schonefeld Airport;Berlin, Germany
SXL;EISG;Sligo Airport;Strandhill (near Sligo), Ireland
SXM;TNCM;Princess Juliana International Airport;Philipsburg, Sint Maarten, Kingdom of the Netherlands
SXP;;Sheldon Point Airport;Sheldon Point, Alaska, United States
SXQ;PASX;Soldotna Airport;Soldotna, Alaska, United States
SXR;VISR;Srinagar International Airport;Srinagar, India
SXV;VOSM;Salem Airport;Salem, India
SXY;;Sidney Municipal Airport;Sidney, New York, United States
SXZ;LTCL;Siirt Airport;Siirt, Turkey
SYA;PASY;Eareckson Air Station;Shemya, Alaska, United States
SYD;YSSY;Sydney Airport;Mascot (near Sydney), Australia
SYF;;Silva Bay Seaplane Base;Gabriola Island, British Columbia, Canada
SYI;KSYI;Shelbyville Municipal Airport (Bomar Field);Shelbyville, Tennessee, United States
SYJ;OIKY;Sirjan Airport;Sirjan, Kerman Province, Iran
SYL;KSYL;Roberts Army Heliport;Camp Roberts, San Luis Obispo County, California, United States
SYN;KSYN;Stanton Airfield;Stanton, Minnesota, United States
SYO;RJSY;Shonai Airport;Yamagata, Japan
SYP;MPSA;Ruben Cantu Airport;Santiago de Veraguas, Panama
SYQ;MRPV;Tobias Bolanos International Airport;San Jose, Costa Rica
SYR;KSYR;Syracuse Hancock International Airport;Mattydale (near Syracuse), New York, United States
SYV;KSYV;Sylvester Airport;Sylvester, Georgia, United States
SYX;ZJSY;Sanya Phoenix International Airport;Sanya, Hainan, China
SYY;EGPO;Stornoway Airport;Stornoway, Scotland, United Kingdom
SYZ;OISS;Shiraz International Airport;Shiraz, Iran
SZB;WMSA;Sultan Abdul Aziz Shah Airport;Subang (near Kuala Lumpur), Malaysia
SZD;EGSY;Sheffield City Airport (closed in April 2008);Sheffield, England, United Kingdom
SZF;LTFH;Carsamba Airport;Samsun, Turkey
SZG;LOWS;Salzburg Airport;Salzburg, Austria
SZI;;Zaysan Airport;Zaysan, Kazakhstan
SZL;KSZL;Whiteman Air Force Base;Knob Noster, Missouri, United States
SZN;KSZN;Santa Cruz Island Airport;Santa Barbara, California, United States
SZP;KSZP;Santa Paula Airport;Santa Paula, California, United States
SZQ;;Saenz Pena Airport;Saenz Pena, Buenos Aires, Argentina
SZR;LBSZ;Stara Zagora Airport;Stara Zagora, Bulgaria
SZS;NZRC;Ryans Creek Aerodrome;Stewart Island, New Zealand
SZT;MMSC;San Cristobal de las Casas National Airport;Chiapas, Mexico
SZV;ZSSZ;Suzhou Guangfu Airport;Suzhou, Jiangsu, China
SZW;EDOP;Schwerin-Parchim Airport;Parchim, Germany
SZX;ZGSZ;Shenzhen Bao'an International Airport;Shenzhen, Guangdong, China
SZY;EPSY;Olsztyn-Mazury Regional Airport;Szymany (near Szczytno), Poland
SZZ;EPSC;"Szczecin-Goleniow ""Solidarnosc"" Airport";Goleniow (near Szczecin), Poland
TAB;TTCP;A.N.R. Robinson International Airport (formerly, Crown Point International Airport);Scarborough, Tobago, Trinidad and Tobago
TAC;RPVA;Daniel Z. Romualdez Airport (Tacloban Airport);Tacloban City, Philippines
TAD;KTAD;Perry Stokes Airport;Trinidad, Colorado, United States
TAE;RKTN;Daegu International Airport;Daegu, South Korea
TAF;DAOL;Oran Tafaraoui Airport;Oran, Algeria
TAG;RPVT;Tagbilaran Airport;Tagbilaran City, Bohol, Philippines
TAH;NVVW;Whitegrass Airport;Tanna, Vanuatu
TAJ;;Tadji Airport;Aitape, Papua New Guinea
TAK;RJOT;Takamatsu Airport;Takamatsu, Kagawa, Japan
TAL;PATA;Ralph M. Calhoun Memorial Airport;Tanana, Alaska, United States
TAM;MMTM;General Francisco Javier Mina International Airport;Tampico, Tamaulipas, Mexico
TAN;YTGA;Tangalooma Airport;Tangalooma, Queensland, Australia
TAO;ZSQD;Qingdao Liuting International Airport;Qingdao, Shandong, China
TAP;MMTP;Tapachula International Airport;Tapachula, Chiapas, Mexico
TAR;LIBG;Taranto-Grottaglie Airport;Grottaglie, Apulia, Italy
TAS;UTTT;Tashkent International Airport;Tashkent, Uzbekistan
TAT;LZTT;Poprad-Tatry Airport;Poprad, Slovakia
TAX;WAPT;Taliabu Island Airport;Taliabu, Indonesia
TAV;;Tau Airport;Tau, American Samoa
TAW;SUTB;Tacuarembo Airport;Tacuarembo, Tacuarembo, Uruguay
TAY;EETU;Tartu-ulenurme Airport;Tartu, Estonia
TAZ;UTAT;Dashoguz Airport;Da?oguz, Turkmenistan
TBH;RPVU;Romblon Airport (Tablas Airport);Alcantara, Romblon, Philippines
TBI;MYCB;New Bight Airport;New Bight, Cat Island, Bahamas
TBJ;DTKA;Tabarka-Ain Draham International Airport;Tabarka, Tunisia
TBN;KTBN;Waynesville-St. Robert Regional Airport (Forney Field);Fort Leonard Wood, Missouri, United States
TBP;SPME;Cap. FAP Pedro Canga Rodriguez Airport;Tumbes, Peru
TBR;KTBR;Statesboro-Bulloch County Airport;Statesboro, Georgia, United States
TBS;UGTB;Tbilisi International Airport;Tbilisi, Georgia
TBT;SBTT;Tabatinga International Airport;Tabatinga, Amazonas, Brazil
TBU;NFTF;Fua?amotu International Airport;Nuku?alofa, Tongatapu, Tonga
TBW;UUOT;Tambov Donskoye Airport;Tambov, Russia
TBZ;OITT;Tabriz International Airport;Tabriz, Iran
TCA;YTNK;Tennant Creek Airport;Tennant Creek, Northern Territory, Australia
TCB;MYAT;Treasure Cay Airport;Treasure Cay, Abaco Islands, Bahamas
TCC;KTCC;Tucumcari Municipal Airport;Tucumcari, New Mexico, United States
TCI;;All Airports;Tenerife, Canary Islands, Spain
TCL;KTCL;Tuscaloosa Regional Airport;Tuscaloosa, Alabama, United States
TCM;KTCM;McChord Air Force Base;Tacoma, Washington, United States
TCN;MMHC;Tehuacan Airport;Tehuacan, Puebla, Mexico
TCP;HETB;Taba International Airport;Taba, Egypt
TCS;KTCS;Truth or Consequences Municipal Airport;Truth or Consequences, New Mexico, United States
TCT;;Takotna Airport;Takotna, Alaska, United States
TCV;;Chingozi Airport;Tete, Mozambique
TCX;OIMT;Tabas Airport;Tabas, Iran
TCZ;ZUTC;Tengchong Tuofeng Airport;Tengchong, Yunnan, China
TDD;SLTR;Teniente Jorge Henrich Arauz Airport;Trinidad, Bolivia
TDG;RPMW;Tandag Airport;Tandag, Surigao del Sur, Philippines
TDK;;Taldykorgan Airport;Taldykorgan, Kazakhstan
TDL;SAZT;Tandil Airport;Tandil, Buenos Aires, Argentina
TDO;KTDO;South Lewis County Airport (Ed Carlson Memorial Field);Toledo, Washington, United States
TDS;;Sasereme Airport;Sasereme, Papua New Guinea
TDW;KTDW;Tradewind Airport;Amarillo, Texas, United States
TDX;VTBO;Trat Airport;Trat, Thailand
TDZ;KTDZ;Metcalf Field;Toledo, Ohio, United States
TEB;KTEB;Teterboro Airport;Teterboro, New Jersey, United States
TED;EKTS;Thisted Airport;Thisted, Denmark
TEG;DFET;Tenkodogo Airport;Tenkodogo, Burkina Faso
TEI;VETJ;Tezu Airport;Tezu, Arunachal Pradesh, India
TEK;;Tatitlek Airport (FAA: 7KA);Tatitlek, Alaska, United States
TEN;ZUTR;Tongren Fenghuang Airport;Tongren, Guizhou, China
TEQ;LTBU;corlu Airport;Tekirdag, Turkey
TER;LPLA;Lajes Field;Lajes, Azores, Portugal
TET;FQTT;Chingozi Airport;Tete, Mozambique
TEX;KTEX;Telluride Regional Airport;Telluride, Colorado, United States
TEZ;VETZ;Tezpur Airport;Tezpur, Assam, India
TFF;SBTF;Tefe Airport;Tefe, Amazonas, Brazil
TFN;GCXO;Tenerife North Airport (Los Rodeos Airport);Tenerife, Canary Islands, Spain
TFS;GCTS;Tenerife South Airport (Reina Sofia Airport);Tenerife, Canary Islands, Spain
TGA;WSAT;Tengah Air Base;Tengah, Singapore
TGB;;Tagbita Airport;Rizal, Palawan, Philippines
TGD;LYPG;Podgorica Airport;Golubovci (near Podgorica), Montenegro
TGE;;Sharpe Field (FAA: AL73);Tuskegee, Alabama, United States
TGG;WMKN;Sultan Mahmud Airport;Kuala Terengganu, Malaysia
TGI;SPGM;Tingo Maria Airport;Tingo Maria, Peru
TGM;LRTM;Targu Mure? International Airport;Targu-Mure?, Romania
TGP;UNIP;Podkamennaya Tunguska Airport;Podkamennaya Tunguska, Krasnoyarsk, Russia
TGU;MHTG;Toncontin International Airport;Tegucigalpa, Honduras
TGZ;MMTG;Angel Albino Corzo International Airport;Tuxtla Gutierrez, Chiapas, Mexico
